date,code,open,close,low,high,volume,money,turnover_ratio
2021-10-28,000928.XSHE,16.67,15.81,15.7,16.74,11807369.0,190333183.09,2.0451
2021-10-28,000929.XSHE,21.77,21.92,21.62,22.37,3178131.0,69822880.24,4.2756
2021-10-28,000930.XSHE,61.92,55.96,55.84,61.98,13673557.0,784116604.89,8.2046
2021-10-28,000931.XSHE,13.69,13.24,13.12,13.75,5647200.0,75623284.72,1.5325
2021-10-28,000932.XSHE,12.16,11.72,11.43,12.2,95070159.0,1114926706.18,3.669
2021-10-28,000933.XSHE,128.26,121.57,118.79,128.64,12166355.0,1488849947.25,6.8898
2021-10-28,000935.XSHE,50.56,50.29,50.08,52.2,2898546.0,147923442.75,0.9565
2021-10-28,000936.XSHE,38.17,37.9,37.71,38.49,985180.0,37432595.72,0.7307
2021-10-28,000937.XSHE,56.09,54.48,51.17,56.09,18102034.0,967294071.22,5.2846
2021-10-28,000938.XSHE,188.62,185.1,183.69,191.16,2555246.0,477501665.68,0.6293
2021-10-28,000948.XSHE,32.62,32.04,31.81,32.83,2448303.0,78824094.73,1.8567
2021-10-28,000949.XSHE,33.95,31.76,31.57,34.43,9843210.0,320525900.38,3.723
2021-10-28,000950.XSHE,11.43,11.28,11.28,11.43,1749872.0,19844032.0,0.241
2021-10-28,000951.XSHE,62.47,61.06,61.02,63.5,4241504.0,262424107.14,1.6894
2021-10-28,000952.XSHE,17.94,17.48,17.43,18.01,757506.0,13349444.86,0.6236
2021-10-28,000953.XSHE,11.29,10.95,10.88,11.37,429793.0,4763630.0,0.3504
2021-10-28,000955.XSHE,10.48,10.26,10.11,10.48,1315414.0,13489328.98,0.6018
2021-10-28,000957.XSHE,24.32,23.29,23.24,24.62,994496.0,23498203.16,0.8586
2021-10-28,000958.XSHE,21.59,21.54,21.14,22.21,8544945.0,185111867.19,3.4654
2021-10-28,000959.XSHE,13.3,13.19,12.89,13.44,19811743.0,260227454.59,0.8846
2021-10-28,000960.XSHE,59.67,55.93,55.93,60.42,19256127.0,1091138693.01,3.9256
2021-10-28,000961.XSHE,25.29,24.47,24.22,25.41,7318396.0,180057787.15,1.2079
2021-10-28,000962.XSHE,37.33,35.67,34.99,37.77,3930668.0,141331380.71,3.0173
2021-10-28,000963.XSHE,425.5,444.31,422.85,454.15,4243365.0,1881751532.21,3.0611
2021-10-28,000965.XSHE,6.66,6.61,6.58,6.75,1567819.0,10438546.98,0.4023
2021-10-28,000966.XSHE,32.35,32.94,31.92,34.6,12654736.0,420502915.22,4.4993
