code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000586.XSHE,-3.145869,-1.158582,-1.45384,-0.809856,-1.276529,-0.809864,0.068713,-0.496346,0.1740799999999999,-0.601467
000587.XSHE,-2.377675,-3.432086,-0.014258,1.357145,1.409768,-1.1741700000000002,-0.6325350000000001,-0.223184,-2.868948,0.861291
000589.XSHE,-1.970096,-0.794566,-0.802431,-0.730424,2.013671,1.901144,0.2802699999999999,2.113029,0.389894,-0.256573
000590.XSHE,-2.764326,-1.112486,-1.422236,-0.296201,0.337337,-0.464505,-0.283524,-0.455389,-0.910637,-0.836184
000591.XSHE,-0.8511620000000001,0.275132,0.105852,0.3448719999999999,1.640508,0.866442,1.547726,0.381779,-1.273643,1.867717
000592.XSHE,-1.871485,-0.698812,-0.538868,0.784625,2.088777,0.1461059999999999,1.284555,-0.8183,-0.8887809999999999,-0.861159
000593.XSHE,-2.995778,-1.288616,-1.181165,-0.394076,-0.570906,0.426716,-0.1733829999999999,-0.139453,1.26411,-0.328529
000595.XSHE,-2.329437,-1.57081,-0.1188289999999999,0.605236,1.507714,-0.6128100000000001,-0.568707,-1.144396,-1.35943,-0.5476949999999999
000596.XSHE,0.7514149999999999,1.204975,0.118416,0.406801,-0.958719,-1.127784,-0.391667,-0.968539,0.42617,-0.765515
000597.XSHE,-1.768906,-1.543221,-1.069911,-1.054618,2.140422,0.483658,-0.988292,0.2428159999999999,-1.10492,-0.019705
000598.XSHE,-1.049176,-1.96998,-0.4800649999999999,-1.257246,1.867975,1.0936780000000002,-1.352563,0.919399,0.388559,0.6857840000000001
000599.XSHE,-2.413605,-1.624573,-0.860507,-0.727162,1.331888,1.781887,-0.740714,-0.089047,-1.575965,0.065172
000600.XSHE,-1.60407,-1.679601,-1.023684,0.08401,2.170538,2.714184,0.093927,2.066813,0.020271,1.64308
000601.XSHE,-1.935975,-1.409942,-1.071802,-0.611355,2.042567,1.211901,-0.833918,1.003911,0.078222,1.274422
000603.XSHE,-1.548631,0.361912,-0.941681,-0.477235,2.16692,-0.600625,0.389115,0.457212,0.771915,-0.3775
000605.XSHE,-2.9296330000000004,-1.503922,-1.297186,-0.612394,-0.289616,2.017767,-0.715324,-0.128514,-0.791908,1.234207
000606.XSHE,-2.896226,-1.3824809999999998,-3.227474,2.178957,-0.154254,-0.694009,1.015978,-2.703904,-0.2234409999999999,-0.284406
000607.XSHE,-2.31998,-1.830499,-1.179462,-0.617203,1.526039,-0.2350449999999999,-1.20154,-0.574955,-1.449734,0.225532
000608.XSHE,-2.633508,-1.719428,-1.412993,0.685117,0.7596970000000001,2.3916310000000003,-0.7189399999999999,0.463981,-0.215221,-0.409062
000609.XSHE,-3.5180300000000004,-1.2425540000000002,-2.824412,0.769073,-1.437224,2.539406,0.192552,-2.444434,-0.8466469999999999,1.305261
000610.XSHE,-2.761287,-1.449518,-0.6693859999999999,0.008736,0.3478719999999999,-0.175276,1.202229,-1.200034,-0.924611,-0.715213
000611.XSHE,-3.167059,-1.821616,-0.548385,0.16558,-1.383879,-0.547092,-0.19821,-0.943106,-1.337877,-0.492979
000612.XSHE,-1.501909,0.486931,-0.349067,0.4220649999999999,2.15879,0.28561,1.23432,0.543175,0.086965,-0.77886
000613.XSHE,-3.196191,-1.43622,-2.477198,2.217319,-1.437224,-1.242373,0.935035,-0.725762,-1.422879,-0.795128
000615.XSHE,-1.028867,0.120152,3.606125,3.0478,1.847063,-1.051826,1.867494,-1.218191,-1.265188,0.742563
000616.XSHE,-2.533759,-1.454634,-1.937125,0.688609,1.040027,2.714184,-0.0091159999999999,-0.189081,1.847374,-1.224134
000617.XSHE,0.2894,-1.331221,-1.326924,-0.172498,-0.232232,2.571759,-1.832991,-1.408382,-0.678059,0.724653
000619.XSHE,-2.9317900000000003,-1.281988,-1.071682,-1.130568,-0.298506,2.714184,-0.67289,-0.009824,-0.531274,-0.558976
000620.XSHE,-2.188024,-2.550606,-1.6645299999999998,2.401927,1.7525540000000002,2.714184,-0.252673,1.597341,-0.747624,2.063302
000622.XSHE,-3.1472900000000004,-1.0610879999999998,-1.336493,-1.071112,-1.283665,-0.95536,-0.1731089999999999,-0.782694,1.2297360000000002,-0.701504
000623.XSHE,-0.931272,-1.001243,-0.941136,-1.646204,1.738651,2.652667,-0.39692,-0.152004,-0.985363,-0.91019
000625.XSHE,0.877365,1.3995959999999998,0.94947,1.5046620000000002,-1.124276,-0.25255,1.7039830000000002,-0.248351,-0.920821,-0.471585
000626.XSHE,-1.506695,-2.072962,1.192521,1.024562,2.159832,-0.4762189999999999,-0.455624,-1.019784,-1.381227,-0.295755
000627.XSHE,-0.935197,-0.953873,-1.994243,-0.733118,1.743254,2.43371,-1.58714,2.113029,-0.273597,2.063302
000628.XSHE,-2.54151,-1.444238,-1.070254,-1.218718,1.0195,0.2013619999999999,-0.762441,-0.7679189999999999,1.847374,0.067657
